,Year,Race,Driver,Team,QualiPosition,GridPosition,TargetFinish,Points
143,2022,Monaco_Grand_Prix,NOR,McLaren,5.0,5.0,6,9.0
144,2022,Monaco_Grand_Prix,OCO,Alpine,10.0,10.0,12,0.0
145,2022,Monaco_Grand_Prix,PER,Red Bull Racing,3.0,3.0,1,25.0
146,2022,Monaco_Grand_Prix,RIC,McLaren,14.0,14.0,13,0.0
147,2022,Monaco_Grand_Prix,RUS,Mercedes,6.0,6.0,5,10.0
148,2022,Monaco_Grand_Prix,SAI,Ferrari,2.0,2.0,2,18.0
149,2022,Monaco_Grand_Prix,STR,Aston Martin,18.0,18.0,14,0.0
150,2022,Monaco_Grand_Prix,TSU,AlphaTauri,11.0,11.0,17,0.0
151,2022,Monaco_Grand_Prix,VER,Red Bull Racing,4.0,4.0,3,15.0
152,2022,Monaco_Grand_Prix,VET,Aston Martin,9.0,9.0,10,1.0
153,2022,Monaco_Grand_Prix,ZHO,Alfa Romeo,20.0,20.0,16,0.0
154,2022,Azerbaijan_Grand_Prix,ALB,Williams,17.0,17.0,12,0.0
155,2022,Azerbaijan_Grand_Prix,ALO,Alpine,10.0,10.0,7,6.0
156,2022,Azerbaijan_Grand_Prix,BOT,Alfa Romeo,15.0,15.0,11,0.0
157,2022,Azerbaijan_Grand_Prix,DEV,,,,,
158,2022,Azerbaijan_Grand_Prix,GAS,AlphaTauri,6.0,6.0,5,10.0
159,2022,Azerbaijan_Grand_Prix,HAM,Mercedes,7.0,7.0,4,12.0
160,2022,Azerbaijan_Grand_Prix,HUL,,,,,
161,2022,Azerbaijan_Grand_Prix,LAT,Williams,18.0,18.0,15,0.0
162,2022,Azerbaijan_Grand_Prix,LEC,Ferrari,1.0,1.0,R,0.0
163,2022,Azerbaijan_Grand_Prix,MAG,Haas F1 Team,16.0,16.0,R,0.0
164,2022,Azerbaijan_Grand_Prix,MSC,Haas F1 Team,20.0,20.0,14,0.0
165,2022,Azerbaijan_Grand_Prix,NOR,McLaren,11.0,11.0,9,2.0
